degree,href
Applied Computer Science,https://catalog.nau.edu/Catalog/details?plan=ACSBSX
Computer Science,https://catalog.nau.edu/Catalog/details?plan=CSBSCSX
Electrical Engineering Technology,https://catalog.nau.edu/Catalog/details?plan=EETBS
Cybersecurity,https://catalog.nau.edu/Catalog/details?plan=CYBBS
Electrical Engineering,https://catalog.nau.edu/Catalog/details?plan=EEEGRBS
Computer Engineering,https://catalog.nau.edu/Catalog/details?plan=CSEGRBS
Informatics,https://catalog.nau.edu/Catalog/details?plan=INFORMBS
